['ERROR]2023-05-15 13:17:15,309(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.Loggerload1)-Error - You can not divide a number by zero
['INFO ]2023-05-22 11:15:16,865(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be redirected to homepage with page title as {string}
['INFO ]2023-05-22 11:15:17,862(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks on Get Started link on homepage without login
['WARN ]2023-05-22 11:15:17,898(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user get warning message
['INFO ]2023-05-22 11:15:19,664(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user select options from dropbox menu on homepage without login
['WARN ]2023-05-22 11:15:19,696(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user get warning message
['INFO ]2023-05-22 11:15:21,863(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is on Home Page of DS Algo Portal
['INFO ]2023-05-22 11:15:22,572(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks the Register button on Home page
['INFO ]2023-05-22 11:15:22,590(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User will be navigated to Register Page with title as Registration
['INFO ]2023-05-22 11:15:23,343(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks the Register button on register page with all fields value empty
['ERROR]2023-05-22 11:15:23,474(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Error message is displayed as Please fill out this field
['INFO ]2023-05-22 11:15:24,260(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks the Register button on register page with valid Username and Password fields value empty
['ERROR]2023-05-22 11:15:24,398(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Error message is displayed as Please fill out this field
['INFO ]2023-05-22 11:15:25,238(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks the Register link on register page with Password and confirmPassword fields value empty
['ERROR]2023-05-22 11:15:25,358(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Error message is displayed as Please fill out this field
['INFO ]2023-05-22 11:15:29,258(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User enter Invalid signUp details on register page from Excel Sheet
['INFO ]2023-05-22 11:15:29,959(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks Register button
['ERROR]2023-05-22 11:15:30,096(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Registration failed and error message is displayed
['INFO ]2023-05-22 11:15:30,973(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User enter Invalid signUp details on register page from Excel Sheet
['INFO ]2023-05-22 11:15:31,670(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks Register button
['ERROR]2023-05-22 11:15:31,766(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Registration failed and error message is displayed
['INFO ]2023-05-22 11:15:32,644(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User enter Invalid signUp details on register page from Excel Sheet
['INFO ]2023-05-22 11:15:33,346(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks Register button
['ERROR]2023-05-22 11:15:33,464(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Registration failed and error message is displayed
['INFO ]2023-05-22 11:15:34,336(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User enter Invalid signUp details on register page from Excel Sheet
['INFO ]2023-05-22 11:15:35,030(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks Register button
['ERROR]2023-05-22 11:15:35,131(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Registration failed and error message is displayed
['INFO ]2023-05-22 11:15:35,479(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User enter Valid signUp details on register page UserName, Password and ConfirmPassword 
['INFO ]2023-05-22 11:15:36,344(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks Register button
['INFO ]2023-05-22 11:15:36,353(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User will be navigated to Home page of DS Algo
['INFO ]2023-05-22 11:15:38,388(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-success Message will be displayed as Logged out successfully
['INFO ]2023-05-22 11:15:38,692(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on signOut link on Home page
['INFO ]2023-05-22 11:15:40,736(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)- Message will be displayed as Logged out successfully
['INFO ]2023-05-22 11:15:42,905(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is on Home Page of DS Algo Portal
['INFO ]2023-05-22 11:15:43,128(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on signIn link on Home page
['INFO ]2023-05-22 11:15:43,286(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is navigated to Login Page
['INFO ]2023-05-22 11:15:46,347(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered login details from Excel sheet
['ERROR]2023-05-22 11:15:46,366(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Error message is displayed as Invalid user login 
['INFO ]2023-05-22 11:15:48,509(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is on Home Page of DS Algo Portal
['INFO ]2023-05-22 11:15:48,736(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on signIn link on Home page
['INFO ]2023-05-22 11:15:48,882(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is navigated to Login Page
['INFO ]2023-05-22 11:15:51,856(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered login details from Excel sheet
['ERROR]2023-05-22 11:15:51,878(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Error message is displayed as Invalid user login 
['INFO ]2023-05-22 11:15:52,921(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered Username and Password 
['INFO ]2023-05-22 11:15:54,989(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-Success message is displayed
['INFO ]2023-05-22 11:15:57,029(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is navigated to Home page of DsAlgo Portal
['INFO ]2023-05-22 11:15:57,320(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on signOut link on Home page
['INFO ]2023-05-22 11:15:59,364(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)- Message will be displayed as Logged out successfully
['INFO ]2023-05-22 11:16:01,553(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is on Home Page of DS Algo Portal
['INFO ]2023-05-22 11:16:01,731(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on signIn link on Home page
['INFO ]2023-05-22 11:16:02,728(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered Username and Password 
['INFO ]2023-05-22 11:16:04,748(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User is navigated to Home page of DsAlgo Portal
['INFO ]2023-05-22 11:16:05,569(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks on DataStructure GetStarted button 
['INFO ]2023-05-22 11:16:05,569(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User will be navigated to Data Structures-Introduction page
['INFO ]2023-05-22 11:16:05,856(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks on Time Complexity link
['INFO ]2023-05-22 11:16:05,865(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User will be navigated to time-complexity page
['INFO ]2023-05-22 11:16:06,594(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the datastructure page
['INFO ]2023-05-22 11:16:06,604(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:16:08,088(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Python code in tryEditor from DataStructures topic and click Run button
['INFO ]2023-05-22 11:16:08,108(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for DataStructure Page
['INFO ]2023-05-22 11:16:10,549(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Python code in tryEditor from DataStructures topic and click Run button
['INFO ]2023-05-22 11:16:10,569(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for DataStructure Page
['INFO ]2023-05-22 11:16:10,626(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to dataStructure page of selected topic
['INFO ]2023-05-22 11:16:10,835(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Practice Questions Page on DataStructure Page
['INFO ]2023-05-22 11:16:10,850(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected to a Practice Questions Page of selected DataStructure Topic Page
['INFO ]2023-05-22 11:16:10,911(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User is on practice page of data Structure
['INFO ]2023-05-22 11:16:12,757(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user select Array option from dropbox menu
['INFO ]2023-05-22 11:16:12,762(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user is navigate to Array Page
['INFO ]2023-05-22 11:16:13,610(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user click on topiclist link on Array page
['INFO ]2023-05-22 11:16:13,927(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks on Try Here button of selected topic
['INFO ]2023-05-22 11:16:15,329(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User Enter valid Python code in tryEditor from topiclist in Array and click Run button
['INFO ]2023-05-22 11:16:15,345(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be presented with the Run output for valid Python code and massege for Array Page
['ERROR]2023-05-22 11:16:16,695(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor from topiclist in Array and click Run button
['WARN ]2023-05-22 11:16:16,713(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Array Page
['INFO ]2023-05-22 11:16:16,734(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Array topic list
['INFO ]2023-05-22 11:16:17,050(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user click on topiclist link on Array page
['INFO ]2023-05-22 11:16:17,329(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks on Try Here button of selected topic
['INFO ]2023-05-22 11:16:18,708(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User Enter valid Python code in tryEditor from topiclist in Array and click Run button
['INFO ]2023-05-22 11:16:18,735(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be presented with the Run output for valid Python code and massege for Array Page
['ERROR]2023-05-22 11:16:20,059(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor from topiclist in Array and click Run button
['WARN ]2023-05-22 11:16:20,076(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Array Page
['INFO ]2023-05-22 11:16:20,098(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Array topic list
['INFO ]2023-05-22 11:16:20,388(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user click on topiclist link on Array page
['INFO ]2023-05-22 11:16:20,648(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks on Try Here button of selected topic
['INFO ]2023-05-22 11:16:22,073(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User Enter valid Python code in tryEditor from topiclist in Array and click Run button
['INFO ]2023-05-22 11:16:22,092(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be presented with the Run output for valid Python code and massege for Array Page
['ERROR]2023-05-22 11:16:23,477(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor from topiclist in Array and click Run button
['WARN ]2023-05-22 11:16:23,496(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Array Page
['INFO ]2023-05-22 11:16:23,523(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Array topic list
['INFO ]2023-05-22 11:16:23,803(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user click on topiclist link on Array page
['INFO ]2023-05-22 11:16:24,058(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user clicks on Try Here button of selected topic
['INFO ]2023-05-22 11:16:25,468(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User Enter valid Python code in tryEditor from topiclist in Array and click Run button
['INFO ]2023-05-22 11:16:25,489(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be presented with the Run output for valid Python code and massege for Array Page
['ERROR]2023-05-22 11:16:26,836(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor from topiclist in Array and click Run button
['WARN ]2023-05-22 11:16:26,851(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for Array Page
['INFO ]2023-05-22 11:16:26,876(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Array topic list
['INFO ]2023-05-22 11:16:27,103(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-user click on practice Question
['INFO ]2023-05-22 11:16:27,109(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User will be navigated to Practice Question in Array page 
['INFO ]2023-05-22 11:16:27,478(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user click links on practice question Array page
['INFO ]2023-05-22 11:16:30,196(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered valid Python code in tryEditor by using excel sheet click Run button
['INFO ]2023-05-22 11:16:30,214(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be presented with the Run output for valid Python code and massege for Array Page
['INFO ]2023-05-22 11:16:30,238(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Array topic list
['INFO ]2023-05-22 11:16:30,503(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user click links on practice question Array page
['INFO ]2023-05-22 11:16:33,097(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered valid Python code in tryEditor by using excel sheet click Run button
['INFO ]2023-05-22 11:16:33,114(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be presented with the Run output for valid Python code and massege for Array Page
['INFO ]2023-05-22 11:16:33,135(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Array topic list
['INFO ]2023-05-22 11:16:33,413(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user click links on practice question Array page
['INFO ]2023-05-22 11:16:36,079(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered valid Python code in tryEditor by using excel sheet click Run button
['INFO ]2023-05-22 11:16:36,095(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be presented with the Run output for valid Python code and massege for Array Page
['INFO ]2023-05-22 11:16:36,125(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Array topic list
['INFO ]2023-05-22 11:16:36,373(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user click links on practice question Array page
['INFO ]2023-05-22 11:16:39,058(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User entered valid Python code in tryEditor by using excel sheet click Run button
['INFO ]2023-05-22 11:16:39,073(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The user should be presented with the Run output for valid Python code and massege for Array Page
['INFO ]2023-05-22 11:16:39,097(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to Array topic list
['INFO ]2023-05-22 11:16:39,140(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-The User is on practice page of Array
['INFO ]2023-05-22 11:16:41,040(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-the user select_from_homepage_drop_down_menu
['INFO ]2023-05-22 11:16:41,050(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User will be navigated to LinkedList page
['INFO ]2023-05-22 11:16:41,523(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User click to select topics covered on Link List page
['INFO ]2023-05-22 11:16:41,850(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Linked List of selected topic page
['INFO ]2023-05-22 11:16:41,860(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:16:43,419(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for LinkedList topic and click Run button
['INFO ]2023-05-22 11:16:43,436(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for LinkedList Page
['INFO ]2023-05-22 11:16:43,594(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for LinkedList topic and click Run button
['WARN ]2023-05-22 11:16:43,618(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for LinkedList Page
['INFO ]2023-05-22 11:16:43,643(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to LinkedList page of selected topic
['INFO ]2023-05-22 11:16:44,005(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User click to select topics covered on Link List page
['INFO ]2023-05-22 11:16:44,285(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Linked List of selected topic page
['INFO ]2023-05-22 11:16:44,291(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:16:45,801(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for LinkedList topic and click Run button
['INFO ]2023-05-22 11:16:45,812(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for LinkedList Page
['INFO ]2023-05-22 11:16:46,001(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for LinkedList topic and click Run button
['WARN ]2023-05-22 11:16:46,018(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for LinkedList Page
['INFO ]2023-05-22 11:16:46,040(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to LinkedList page of selected topic
['INFO ]2023-05-22 11:16:46,461(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User click to select topics covered on Link List page
['INFO ]2023-05-22 11:16:46,765(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Linked List of selected topic page
['INFO ]2023-05-22 11:16:46,773(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:16:48,266(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for LinkedList topic and click Run button
['INFO ]2023-05-22 11:16:48,283(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for LinkedList Page
['INFO ]2023-05-22 11:16:48,433(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for LinkedList topic and click Run button
['WARN ]2023-05-22 11:16:48,454(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for LinkedList Page
['INFO ]2023-05-22 11:16:48,487(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to LinkedList page of selected topic
['INFO ]2023-05-22 11:16:48,860(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User click to select topics covered on Link List page
['INFO ]2023-05-22 11:16:49,168(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Linked List of selected topic page
['INFO ]2023-05-22 11:16:49,179(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
['INFO ]2023-05-22 11:16:50,713(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter valid Python code in tryEditor for LinkedList topic and click Run button
['INFO ]2023-05-22 11:16:50,729(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with the Run output for valid Python code and Message for for LinkedList Page
['INFO ]2023-05-22 11:16:50,867(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User Enter Invalid Python code in tryEditor for LinkedList topic and click Run button
['WARN ]2023-05-22 11:16:50,893(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be presented with alert and no runOutput for Invalid Python code for LinkedList Page
['INFO ]2023-05-22 11:16:50,919(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User navigate back to LinkedList page of selected topic
['INFO ]2023-05-22 11:16:51,372(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User click to select topics covered on Link List page
['INFO ]2023-05-22 11:16:51,646(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User clicks Try Here button in the  Linked List of selected topic page
['INFO ]2023-05-22 11:16:51,652(yyyy-MM-ddHH:mm:ss.SSS][main]utilities.LoggerLoad1)-User should be redirected tryEditor page title as {string} with a Run button to test Python code
